SP.DYN.LE00.IN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,AG.LND.AGRI.ZS,EN.ATM.CO2E.KD.GD,SP.DYN.IMRT.IN,SH.DYN.MORT,SH.MED.PHYS.ZS,SH.MED.BEDS.ZS,AG.PRD.FOOD.XD,AG.PRD.CROP.XD,AG.PRD.LVSK.XD,SP.DYN.TFRT.IN,SP.ADO.TFRT,SH.STA.BRTC.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.GROW,EN.POP.DNST,VC.IHR.PSRC.P5,SH.H2O.BASW.ZS,SH.H2O.SMDW.ZS,SH.STA.BASS.ZS,SH.STA.SMSS.ZS,SI.POV.GINI,SE.SEC.UNER.LO.ZS,SE.PRM.UNER.ZS,SE.XPD.TOTL.GD.ZS,SP.DYN.CBRT.IN,SH.XPD.GHED.GD.ZS,SH.XPD.PVTD.CH.ZS,SH.IMM.IDPT,SH.IMM.HEPB,SH.IMM.MEAS,SH.PRV.SMOK,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS
79.33170732,2.244065325,38403.13388,2.299138822,2.537794158,34.59433336,0.202074436,4.1,4.9,,7.7,99.9,98.63,100.68,1.41,12.0146,98.6,15.97175795,67.83092329,16.19731876,0.681267248,99.63464519,0.7,99.99999704,98.12848024,99.99470228,96.82388365,28.7,0.94905,2.80775,5.24937,9.5,6.994199753,27.34830976,86,86,75,41.9,41.187,58.813,100,100
79.8804878,3.454041836,40635.28182,1.441546962,1.892161069,34.43085552,0.189923143,3.9,4.8,3.66,7.7,99.18,96.02,101.06,1.41,11.5708,98.6,15.76174939,67.74827548,16.48997513,0.494797775,100.1288569,0.7,99.99999705,98.21139036,99.99289216,96.80044054,29.6,2.21452,2.67838,5.22652,9.4,6.943443418,27.14986503,83,83,80,,41.468,58.532,100,100
80.1804878,3.727415301,46855.77175,2.168555998,2.221175867,34.27184195,0.176938896,3.8,4.6,3.794,7.8,103.56,100.5,104.18,1.38,11.127,98.5,15.4962684,67.6808155,16.8229161,0.324146535,100.456383,0.5,100,98.29430337,99.9911029,96.77686429,30.6,2.25822,2.59764,5.1469,9.2,6.939272583,27.20098794,85,85,79,,41.751,58.249,100,100
80.43170732,1.460423676,51708.76575,3.21595023,1.956322281,34.02116749,0.172622161,3.8,4.5,,7.7,107.76,112.02,105.06,1.42,10.5944,98.6,15.20350219,67.6229858,17.17351201,0.313041438,100.7713458,0.7,100,98.37721348,99.98932844,96.75330271,30.4,2.02962,2.88673,5.26396,9.3,7.176320255,26.21240318,83,83,83,,42.034,57.966,100,100
80.33170732,-3.764578178,47963.1794,0.50630835,1.889264178,33.84678808,0.163013487,3.7,4.4,,7.7,106.04,105.31,106.51,1.39,10.0618,98.6,14.93443603,67.56033295,17.50523101,0.26195319,101.0356656,0.6,100,98.4601236,99.98757174,96.72975877,31.5,1.6947,2.54492,5.73025,9.2,7.449176908,27.15328932,83,83,76,,42.317,57.683,100,100
80.5804878,1.837093677,46858.04327,1.81353628,0.873054962,33.65830719,0.172246454,3.6,4.3,4.7688,7.7,98.99,85.39,108.84,1.44,9.5292,98.5,14.71666475,67.48495145,17.7983838,0.2403943,101.2874302,0.7,100,98.54303371,99.98583303,96.70615607,30.3,1.92084,2.32457,5.70048,9.4,7.399579138,27.60429382,86,86,80,35.7,42.601,57.399,100,100
80.98292683,2.922797284,51374.95841,3.286581974,1.833410245,33.39712672,0.16120011,3.5,4.2,4.8031,7.7,104.19,103.12,105.51,1.43,8.9966,98.6,14.52203058,67.42486929,18.05310013,0.337080842,101.6417364,0.9,100,98.62594382,99.98411212,96.68257142,30.8,2.51967,2.85753,5.59227,9.3,7.287897915,27.31097341,89,89,84,34.6,42.885,57.115,100,100
80.93658537,0.680445577,48567.69529,2.485673529,2.054235685,33.13225067,0.153347186,3.3,4.1,4.845,7.7,99.33,86.49,105.55,1.44,8.464,98.5,14.36658889,67.35891667,18.27449444,0.455937472,102.1148654,0.9,100,98.70885393,99.98231122,96.68323388,30.5,3.52686,1.66857,5.4804,9.4,7.432510704,27.12621391,92,92,88,33.6,42.853,57.147,100,100
81.13658537,0.025504712,50716.70871,2.000158912,1.62388807,32.91369341,0.153831691,3.2,3.9,4.9316,7.6,98.47,85.98,106.51,1.44,8.2392,98.5,14.25418489,67.27283607,18.47297903,0.589387255,102.7471302,0.7,100.0000028,98.79176686,99.98045764,96.69593053,30.8,3.25781,1.02622,5.54711,9.4,7.423128188,27.8309375,95,95,92,32.4,42.664,57.336,100,100
81.4902439,0.661272849,51717.49594,1.605804145,2.175707237,32.89022473,0.143592667,3.1,3.8,4.9954,,104.11,100.08,106.48,1.46,8.0144,98.5,14.17413427,67.16624799,18.65961774,0.781541633,103.5633242,0.5,100.0000028,98.87467695,99.97858897,96.70868936,30.5,2.87522,0.65279,5.44762,9.6,7.51863867,27.48290896,98,98,96,31.4,42.474,57.526,100,100
